jss/0.wav	지금부터 그러면 본격적으로 우리가 도련동에 대해서 조사를 할 거라 예? 이 마을이 언제 어떻게 형성뒛덴 헌 말 알아지는 데로 ᄀᆞᆯ아줍서.	77	9.87
jss/1.wav	예, 그건 한 칠백년 전에 이제 그 설촌이 시작이 되었다고 헙니다.	37	5.0
jss/2.wav	예. 칠백년 전에 설촌이 뒈엇는데 이제 그루후에 이제 성씨들이 여러 성씨들이 많이 와가지고 현재는 ᄒᆞᆫ 팔십여 성씨. 경 뒈서마씀.	74	11.61
jss/3.wav	예. 그러면은 칠백년부터 허는데 설촌할 때 어떤 성씨들이 헷덴 말도 이신가마씨?	44	6.39
jss/4.wav	그 다음 양씨. 고씨. 마 대략적으로 요런 순서가 뒘서양.	32	3.9
jss/5.wav	예. 게믄 그때는 그렇게 하다가 지금은 어느 성씨가 젤 하우꽈? 요즘 은, 요즘 도련?	48	7.89
jss/6.wav	요즘은 역시 김씨, 고씨 이제 그렇게덜 잇어난디 이제 그 사방으로 이 젊은 사름이 전부 떠나부려 놓니까 모든 성씨가 골고로 그자 많토 아녀고 족도 아녀고 그자 경 뒈어서마씀.	97	16.3
jss/7.wav	이젠 성씨가 아까 뭐 몇 가지지?	18	2.8
jss/8.wav	그것도 그 성씨가 내가 그전에 반장을 헤봣는데.	26	3.95
jss/9.wav	반장을 여기서 여기 도련에 일반인디 여기가.	24	4.06
jss/10.wav	우리 반 귀역만 조사해 보니까 한 이십여 성씨가 되니까, 아 이젠 그것에 추미가 부떤. 또 ᄄᆞᆫ 반에는 어떤 성씨가 잇나 헤서 영 그 저 수소문헨 보니까 ᄒᆞᆫ 팔십여 성씨가 뒈연에.	103	15.57
jss/11.wav	상당이 많은 성씰 가졋는데 기씨같은 분들은 에 대개 그 여자 어른 덜이 왓다가 이제 가버리니깐 지금 현재 남자로선 없는 거 같고.	72	11.73
jss/12.wav	그 지금 그러면 지금 여기가 도련일동 아니우까예? 여기가 옛날 이름 뭐라마씨?	43	5.79
jss/13.wav	지금 도련드르는 게면 몇 명 정도 살고 있고 아까 일반이라고 헷는데 몃 개 반으로 형성되었는지.	53	7.09
jss/14.wav	예. ᄒᆞᆫ 백설 남은 호가 이제 살고 잇고.	25	3.49
jss/15.wav	옛 어른덜. 인제 그 외에 현재는 이 아파트나 또 이 저 빌라들이나 이렇게덜 많이 와 놓니깐 거기에 그 온 어른덜은 우리가 얼마가 사는지 걸 모르커 라마씸.	87	15.35
jss/16.wav	옛날 전통적으로 쭉 내려온 분들이 한 백삼십 여호고예 아까 반은 멧 개로 구성뒌마씨? 옛날 요즘 사름덜 말고.	61	11.1
jss/17.wav	또 자연마을덜도 이신가마씨? 웃동네니 알동네니 허는 식으로?	33	4.96
jss/18.wav	이제 그런 것은 이 서쪽에 삼수샛내는 이제 항몽시대에도 거기서 이제 싸움을 헷다는 그런 그 구전이 잇고.	58	8.9
jss/19.wav	으, 삼수샛내에서. 그 항몽 그 당시 에, 김, 김수 장군. 아, 김.	39	8.67
jss/20.wav	김수 장군이 이제 거기서 이제 저 밑엣 동네 밑에서 으 삼양삼동 가까운 디서 싸움헷다는 그런 그 구전이 잇는가 하면은.	66	11.26
jss/21.wav	지금 현재 역사적으로 찾알 봐도 찾을 길이 없어가지고 입으로 전허 는 말이니까.	44	6.23
jss/22.wav	지금 그렇게 되고. 다시 잠깐이.	18	2.76
jss/23.wav	동쪽으로 나가민 거기서는 옛날 그 옆에 망내미동산이 잇는데.	33	5.74
jss/24.wav	망내미는 그 저 옛날 사형수, 사형허던 사람.	25	4.11
jss/25.wav	경헌 사람들이 이제 있엇다고 허고, 벤밧은 이제 사람 그 목을 짤라 난 곳이 아닌가.	47	7.95
jss/26.wav	예전에 이제 즉 말허면 한 칠십 년대 초.	23	4.21
jss/27.wav	이제 그때는 이제 그 조사해 보니까 거기 무덤도 많고 허니까, 그 다 시 새나물이라고 해서.	51	7.59
jss/28.wav	그 도련을 이렇게 다스리는 밖에.	18	3.54
jss/29.wav	물인 거 같아. 새나물헌 게. 벤방, 벤방 새 자 놔가지고. 생수 니 뭐니 지금 허는데, 내가 생각헐 때는 변방 새 자로 변두리에 잇는 물이라고 헤 서 이제 새나물이 아닌가.	97	18.15
jss/30.wav	이제 그렇게 들고. 에 요쪽으로 다시 서쪽으로 똑허게 이 저 마을, 마을로 들어오면은 이제 웃수영이라고 허는 곳이 있는데.	68	12.12
jss/31.wav	웃수영은 옛 어른덜이 경기장.	16	2.96
jss/32.wav	경기장을 이제 사전엘 ᄎᆞᆽ아보면은 수영이 경기장입디다.	31	5.39
